taskLogId,taskId,date,minutes,memo
1,1,2026-05-10,10000,基礎
2,5,2000-01-31,10,洗濯
3,12,2026-02-15,120,帳簿
4,7,2024-08-01,80,基礎
5,8,2015-01-31,60,近所で外食
6,3,2018-02-15,120,帳簿
7,4,2026-08-11,800,環境構築
8,2,2019-01-31,60,洗濯
9,6,2010-02-15,120,報告
10,1,2023-11-30,40,講習
11,9,2012-01-31,240,北へ
12,5,2100-02-15,120,衣替え
13,1,2050-05-01,10000,不具合修正
14,2,2022-01-31,60,食材
15,3,2030-02-15,120,帳簿
16,1,2021-05-01,10000,不具合修正
17,1,2027-05-01,10000,不具合修正
18,1,2013-05-01,10000,不具合修正
19,1,2018-05-01,10000,不具合修正
20,1,2040-05-01,10000,不具合修正
21,1,2007-05-01,10000,不具合修正
22,1,2012-05-01,10000,不具合修正
23,15,2014-07-01,60,ドライブ中
24,19,2022-11-03,99999,バーピー
25,2,2026-01-31,60,洗濯
26,3,2026-02-15,120,帳簿
27,10,2013-10-10,7,可燃物
28,2,2026-01-31,60,洗濯
29,3,2026-02-15,120,帳簿
30,21,2002-02-02,98,売上報告書
31,2,2026-01-31,60,洗濯
32,3,2026-02-15,120,帳簿
33,16,2018-01-01,9999,寝すぎ
34,2,2026-01-31,60,洗濯
35,3,2026-02-15,120,帳簿
36,12,2007-04-01,5555,月報
37,2,2026-01-31,60,洗濯
38,3,2026-02-15,120,帳簿
39,15,2013-11-22,654,日報
40,2,2026-01-31,60,洗濯
41,3,2026-02-15,120,帳簿
42,19,2006-01-01,1222,ダンベル
43,2,2026-01-31,60,洗濯
44,3,2026-02-15,120,帳簿
45,22,2024-05-01,444444,入門編
46,2,2026-01-31,60,洗濯
47,3,2026-02-15,120,帳簿
48,12,2012-01-01,555,週報
49,2,2026-01-31,60,洗濯
50,3,2026-02-15,120,帳簿
