taskLogId,taskId,date,minutes,memo,createdAt,updatedAt
1,1,2015-09-01,100000,復習,2026-05-16T21:28:01,2026-05-16T21:28:01
2,2,2026-01-31,60,食材,2022-01-31T15:00:30,2022-04-30T15:00:30
3,3,2026-02-15,120,報告書,2022-02-28T15:00:30,2022-05-31T15:00:30
4,1,2024-07-01,100000,修正,2026-05-16T21:39:59,2026-05-16T21:39:59
5,5,2026-01-31,60,風呂場,2022-01-31T15:00:30,2022-04-30T15:00:30
6,6,2003-08-05,150,案内,2022-02-28T15:00:30,2026-05-23T20:04:42
7,4,2020-07-31,111111,燃えるゴミ,2026-05-17T01:04:36,2026-05-17T01:04:36
8,2,2026-01-31,630,洗濯,2022-01-31T15:00:30,2026-05-23T20:05:10
9,3,2026-02-15,120,帳簿,2022-02-28T15:00:30,2022-05-31T15:00:30
10,1,2029-06-15,1000000,公開,2026-05-17T01:26:40,2026-05-17T01:26:40
11,19,2026-01-31,60,修正,2022-01-31T15:00:30,2026-05-23T20:05:47
12,3,2026-02-15,120,帳簿,2022-02-28T15:00:30,2022-05-31T15:00:30
13,1,2012-07-26,100000,ファイル作成,2026-05-17T01:27:58,2026-05-17T01:27:58
14,19,2026-01-31,60,テスト対策,2022-01-31T15:00:30,2022-04-30T15:00:30
15,3,2026-02-15,120,帳簿,2022-02-28T15:00:30,2022-05-31T15:00:30
16,16,2080-01-31,4000,演習,2026-05-18T23:31:42,2026-05-18T23:31:42
18,4,2026-02-15,120,空き瓶,2022-02-28T15:00:30,2022-05-31T15:00:30
19,8,2001-07-15,987000,衣類,2026-05-24T12:56:11,2026-05-24T12:56:11
20,2,2026-01-31,60,文具,2022-01-31T15:00:30,2022-04-30T15:00:30
21,3,2026-02-15,120,帳簿,2022-02-28T15:00:30,2022-05-31T15:00:30
22,19,2007-09-30,3434,演習,2026-05-24T13:00:05,2026-05-24T13:00:05
23,8,2026-01-31,60,洗濯,2022-01-31T15:00:30,2022-04-30T15:00:30
24,3,2026-02-15,120,帳簿,2022-02-28T15:00:30,2022-05-31T15:00:30
25,19,2049-10-08,852,課題,2026-05-24T13:08:56,2026-05-24T13:08:56
26,7,2026-01-31,60,演習,2022-01-31T15:00:30,2022-04-30T15:00:30
27,3,2026-02-15,120,帳簿,2022-02-28T15:00:30,2022-05-31T15:00:30
